"","Ticker","Owner","Relationship","Date","Transaction","Cost","NumShares","ValueDollar","NumSharesTotal","SECForm4"
"6944","MRVL","Frank Edward H.","Director",18697,"Buy",45,46,2070,14747,NA
"6945","IBKR","Peterffy Thomas","Chairman",18730,"Sale",73.59,20000,1471855,8127511,NA
"6946","IBKR","Peterffy Thomas","Chairman",18731,"Sale",74.81,20000,1496238,8107511,NA
"6947","MCO","Tulenko Stephen T","President, Moody's Analytics",18731,"Sale",317.5,1500,476250,5582,NA
"6948","PSMT","Biehl Juan Ignacio","EVP and CTO",18731,"Sale",89.38,2422,216476,7605,NA
"6949","PSMT","Bahrambeygui Sherry S.","Chief Executive Officer",18731,"Sale",89.63,7800,699122,144878,NA
"6950","RELL","Ben Robert J","CFO, CAO, Corporate Secretary",18730,"Option Exercise",5.49,2732,14999,37894,NA
"6951","RELL","Ben Robert J","CFO, CAO, Corporate Secretary",18730,"Sale",7.52,2732,20547,35162,NA
"6952","CRTD","Frommer Jeremy","CHIEF EXECUTIVE OFFICER",18731,"Buy",4.25,1000,4250,323332,NA
"6953","HEI","Neitzel Julie","Director",18731,"Sale",133.84,978,130891,392,NA
"6954","MAS","Allman Keith J.","President and CEO",18731,"Sale",62.82,10000,628200,344701,NA
"6955","ALTR","Christ George J","10% Owner",18731,"Sale",64.32,15886,1021859,0,NA
"6956","ALTR","Christ Revocable Trust","10% Owner",18731,"Sale",64.32,15886,1021859,0,NA
"6957","ZUMZ","Valletta Liliana Gil","Director",18732,"Sale",45.38,3000,136140,3283,NA
"6958","RCG","STAHL MURRAY","President and CEO",18731,"Buy",2.62,675,1768,130525,NA
"6959","LNDC","Morberg John D","Chief Financial Officer",18731,"Buy",10.64,2000,21280,13400,NA
"6960","MLI","GLADSTEIN GARY S","Director",18732,"Option Exercise",15.11,4889,73873,119852,NA
"6961","TPL","STAHL MURRAY","Director",18731,"Buy",1613,3,4839,1172,NA
"6962","TPL","STAHL MURRAY","Director",18731,"Buy",1613,34,54842,227797,NA
"6963","MTEM","BIOTECH TARGET N V","10% Owner",18730,"Buy",7.81,1e+05,780970,9201769,NA
"6964","MTEM","BIOTECH TARGET N V","10% Owner",18731,"Buy",8.37,150000,1256040,9351769,NA
"6965","TSE","M&G INVESTMENT MANAGEMENT LTD","10% Owner",18731,"Sale",65.43,3000,196290,7661044,NA
"6966","CFB","O'Toole David L.","CFO & Chief Investment Officer",18731,"Sale",13.62,500,6810,30136,NA
"6967","MORF","Omega Fund V, L.P.","Director",18730,"Sale",57.42,7004,402136,2179932,NA
"6968","MORF","Omega Fund V, L.P.","Director",18731,"Sale",57.52,13932,801371,2166000,NA
"6969","ATNI","PRIOR CORNELIUS B JR","10% Owner",18730,"Sale",50,500,25000,32832,NA
"6970","QMCO","King Elizabeth","Chief Revenue Officer",18730,"Sale",8.14,18425,150026,291583,NA
"6971","LQDA","Manning Paul B","Director",18730,"Buy",2.52,198413,500001,737646,NA
"6972","LQDA","JEFFS ROGER","Director",18730,"Buy",2.52,99206,249999,111706,NA
"6973","WINA","WILSON MARK L","Director",18731,"Option Exercise",98.25,800,78600,21024,NA
"6974","TWST","Leproust Emily M.","President & CEO",18729,"Sale",128.71,2000,257414,265843,NA
"6975","TYME","Van Tornout Jan M","Acting Chief Medical Officer",18722,"Buy",1.85,1317,2436,1317,NA
"6976","TYME","Van Tornout Jan M","Acting Chief Medical Officer",18723,"Buy",1.69,245,414,1562,NA
"6977","TYME","Van Tornout Jan M","Acting Chief Medical Officer",18724,"Buy",1.7,247,420,1809,NA
"6978","ANET","Duda Kenneth","CTO and SVP Software Eng.",18729,"Option Exercise",4.18,10000,41800,10811,NA
"6979","ANET","Duda Kenneth","CTO and SVP Software Eng.",18729,"Sale",314.01,10000,3140074,811,NA
"6980","ANET","Duda Kenneth","CTO and SVP Software Eng.",18729,"Sale",313.85,4534,1422998,30350,NA
"6981","AMST","Tompkins Mark N.","10% Owner",18729,"Sale",3.43,15539,53314,2666339,NA
"6982","AMST","Tompkins Mark N.","10% Owner",18730,"Sale",3.26,26494,86370,2639845,NA
"6983","AMST","Tompkins Mark N.","10% Owner",18731,"Sale",3.25,12050,39175,2627795,NA
"6984","RAPT","Robbins Wendye","Director",18730,"Buy",19.46,700,13620,6100,NA
"6985","VRNS","Segev Ofer","Director",18729,"Sale",53.75,1500,80632,72309,NA
"6986","VRNS","Faitelson Yakov","CEO, President, Chairman",18729,"Sale",53.84,75000,4038000,579780,NA
"6987","ZUO","Traube Robert J.","Chief Revenue Officer",18729,"Sale",16.23,8120,131768,17514,NA
"6988","ZUO","Pileggi Jennifer","SVP, GC and Corp. Secretary",18729,"Sale",16.22,4546,73734,20095,NA
"6989","ZUO","Pileggi Jennifer","SVP, GC and Corp. Secretary",18730,"Sale",17.17,10000,171683,20095,NA
"6990","CVNA","GARCIA ERNEST C. II","10% Owner",18729,"Sale",265.59,50000,13279271,0,NA
"6991","CLDR","Hollison Mick","President",18729,"Sale",12.63,46552,587840,117107,NA
"6992","SNOW","Dageville Benoit","President of Products",18729,"Sale",228.97,29750,6811988,6103165,NA
"6993","SUPN","Martin Tami Tillotson","Sr. V.P., Regulatory Affairs",18731,"Option Exercise",12.98,3125,40562,89451,NA
"6994","SUPN","Martin Tami Tillotson","Sr. V.P., Regulatory Affairs",18730,"Option Exercise",12.98,3125,40562,89451,NA
"6995","SUPN","Martin Tami Tillotson","Sr. V.P., Regulatory Affairs",18730,"Sale",29.98,3125,93702,86326,NA
"6996","SUPN","Martin Tami Tillotson","Sr. V.P., Regulatory Affairs",18731,"Sale",31.98,3125,99938,86326,NA
"6997","FB","Zuckerberg Mark","COB and CEO",18731,"Sale",304.41,68000,20699826,0,NA
"6998","VCRA","Spencer Justin","EVP, Chief Financial Officer",18729,"Sale",36.69,6000,220117,155964,NA
"6999","FB","Zuckerberg Mark","COB and CEO",18730,"Sale",312.07,68000,21220530,0,NA
"7000","GBIO","Rhodes Jason P","Director",18729,"Sale",26.15,74124,1938229,66558,NA
"7001","DXR","Feldschuh Michael Richard","CEO & President",18733,"Buy",10.33,4200,43386,158206,NA
"7002","GIII","BROSIG THOMAS","Director",18729,"Sale",31.35,8188,256694,29548,NA
"7003","ZEN","Gomez Elena","Chief Financial Officer",18732,"Option Exercise",23.44,4000,93760,11165,NA
"7004","ZEN","Gomez Elena","Chief Financial Officer",18732,"Sale",150,6500,975000,4665,NA
"7005","ZEN","Gennaro Norman","President of Sales",18732,"Option Exercise",58.35,4000,233410,33068,NA
"7006","ZEN","Gennaro Norman","President of Sales",18732,"Sale",150,5000,750000,28068,NA
"7007","CVNA","GARCIA ERNEST C. II","10% Owner",18731,"Sale",279.1,17772,4960190,0,NA
"7008","CVNA","GARCIA ERNEST C. II","10% Owner",18731,"Sale",274.99,32228,8862253,0,NA
"7009","ZEN","Svane Mikkel","Chair and CEO",18732,"Option Exercise",9.52,43875,417690,882565,NA
"7010","ZEN","Svane Mikkel","Chair and CEO",18732,"Sale",149.85,43875,6574870,838690,NA
"7011","CORT","WILSON JAMES N","Director",18731,"Option Exercise",4.42,2e+05,884000,2e+05,NA
"7012","TARS","Vivo Capital IX, LLC","10% Owner",18731,"Sale",30.37,400,12148,3244635,NA
"7013","ADPT","LO FRANCIS","Chief People Officer",18732,"Option Exercise",7.8,2000,15600,22604,NA
"7014","ADPT","LO FRANCIS","Chief People Officer",18732,"Sale",43.04,2000,86080,20604,NA
"7015","ADPT","BALDO LANCE","Chief Medical Officer",18731,"Option Exercise",7.8,2000,15600,24894,NA
"7016","ADPT","BALDO LANCE","Chief Medical Officer",18731,"Sale",44.5,2000,89000,22894,NA
"7017","ADPT","GRIFFIN MICHELLE RENEE","Director",18731,"Option Exercise",7.8,4500,35100,6004,NA
"7018","ADPT","GRIFFIN MICHELLE RENEE","Director",18731,"Sale",43.41,4500,195345,1504,NA
"7019","OCSL","TANNENBAUM LEONARD M","10% Owner",18731,"Sale",6.6,52000,343434,22368295,NA
"7020","OCSL","TANNENBAUM LEONARD M","10% Owner",18732,"Sale",6.6,2800,18489,22365495,NA
"7021","OCSL","TANNENBAUM LEONARD M","10% Owner",18733,"Sale",6.62,120000,794400,22245495,NA
"7022","HRTX","Christian Waage","Director",18732,"Sale",17.51,300,5254,4100,NA
"7023","NET","Zatlyn Michelle","President and COO",18731,"Sale",76.06,33350,2536745,0,NA
"7024","NET","Zatlyn Michelle","President and COO",18732,"Sale",77.65,33350,2589484,0,NA
"7025","NET","Zatlyn Michelle","President and COO",18733,"Sale",74.65,33350,2489538,0,NA
"7026","VFF","Ruffini Stephen C","Chief Financial Officer",18731,"Sale",11.6,70000,812000,449399,NA
"7027","WSM","Whalen Julie","EVP CHIEF FINANCIAL OFFICER",18732,"Sale",172.42,3000,517246,53110,NA
"7028","JNCE","Higgons John Duncan","Director",18732,"Sale",10,200,2000,9713,NA
"7029","WRAP","BARNES JAMES A","CFO, SECRETARY AND TREASURER",18733,"Option Exercise",1.5,7500,11250,85260,NA
"7030","WRAP","BARNES JAMES A","CFO, SECRETARY AND TREASURER",18733,"Sale",5.39,7500,40425,77760,NA
"7031","ACEL","Harmer Derek","Secretary",18733,"Sale",12,8000,96000,145958,NA
"7032","FSLY","Luongo Paul","General Counsel",18731,"Sale",75,6284,471300,255115,NA
"7033","PPG","Healey Melanie","Director",18731,"Option Exercise",0,1636,0,4165,NA
"7034","UUUU","Moore Curtis","VP Mktg & Corp. Development",18723,"Option Exercise",2.92,11063,32304,126963,NA
"7035","PPG","NOVO GUILLERMO","Director",18731,"Option Exercise",0,164,0,274,NA
"7036","PPG","Nally Michael","Director",18731,"Option Exercise",0,164,0,264,NA
"7037","PINS","Sharp Evan","Co-Founder & Chief Design & Cr",18731,"Sale",86.65,69198,5995807,0,NA
"7038","PPG","RICHENHAGEN MARTIN","Director",18731,"Option Exercise",0,1636,0,27129,NA
"7039","PPG","Smith Cathy R","Director",18731,"Option Exercise",0,1636,0,2939,NA
"7040","AMC","Goodman Sean D.","EVP & Chief Financial Officer",18733,"Sale",9.49,45404,430793,156705,NA
"7041","APLT","Perfetti Riccardo","Chief Medical Officer",18731,"Option Exercise",1.44,200,288,200,NA
"7042","APLT","Perfetti Riccardo","Chief Medical Officer",18731,"Sale",17.11,200,3422,0,NA
"7043","ICUI","LOPEZ GEORGE A","Director",18732,"Sale",208.02,14900,3099436,921943,NA
"7044","ICUI","LOPEZ GEORGE A","Director",18733,"Sale",210.48,10100,2125862,911843,NA
"7045","PGNY","Payson Norman","Director",18731,"Sale",49.57,5000,247833,365000,NA
"7046","PGNY","Payson Norman","Director",18732,"Sale",50.32,5000,251600,360000,NA
"7047","AMC","ELLIS DANIEL E","SVP Development & Internationa",18733,"Sale",9.48,10000,94830,81294,NA
"7048","MDLA","Carducci Elizabeth","Chief Revenue Officer",18732,"Sale",29.15,2497,72777,872035,NA
"7049","KTOS","MILLS THOMAS E IV","President, C5ISR Div.",18733,"Sale",27.72,8535,236610,32449,NA
"7050","KTOS","Lund Deanna H","EVP & CFO",18731,"Sale",28.02,9103,255057,277981,NA
"7051","SWAV","Zacharias Isaac","Chief Commercial Officer",18732,"Option Exercise",6.71,4000,26840,55050,NA
"7052","SWAV","Zacharias Isaac","Chief Commercial Officer",18732,"Sale",138.57,4000,554292,51050,NA
"7053","MDLA","Ottosson Mikael J","Chief Technology Officer & EVP",18732,"Sale",29.15,2255,65725,159181,NA
"7054","MEDP","Medpace Investors, LLC","10% Owner",18731,"Sale",180.48,3720,671386,6453482,NA
"7055","MEDP","Medpace Investors, LLC","10% Owner",18732,"Sale",186.65,31270,5836546,6422212,NA
"7056","MEDP","Medpace Investors, LLC","10% Owner",18733,"Sale",180.3,17528,3160298,6404684,NA
"7057","DOCU","Alhadeff Loren","Chief Revenue Officer",18732,"Option Exercise",0.97,40000,38800,145419,NA
"7058","KTOS","Carter David M","President, DRSS Division",18732,"Sale",27.92,5000,139602,60688,NA
"7059","ELF","Milsten Scott","",18733,"Option Exercise",1.84,18431,33913,195424,NA
"7060","ELF","Milsten Scott","",18733,"Sale",29.91,18431,551323,176993,NA
"7061","APLT","MARCUS JOEL S","Director",18731,"Option Exercise",7.62,98959,754237,98959,NA
"7062","ELF","AMIN TARANG","Chief Executive Officer",18732,"Sale",29.1,91142,2652524,2044244,NA
"7063","MDLA","Oulman Roxanne","CFO and EVP",18732,"Sale",29.15,12385,360972,514830,NA
"7064","MEDP","EWALD STEPHEN P","General Counsel & Corp. Secy.",18731,"Option Exercise",28.32,1200,33984,15054,NA
"7065","MEDP","EWALD STEPHEN P","General Counsel & Corp. Secy.",18732,"Option Exercise",28.32,3800,107616,17654,NA
"7066","MEDP","EWALD STEPHEN P","General Counsel & Corp. Secy.",18732,"Sale",185.18,3800,703684,13854,NA
"7067","MEDP","EWALD STEPHEN P","General Counsel & Corp. Secy.",18731,"Sale",180.67,1200,216804,13854,NA
"7068","FFIV","Locoh-Donou Francois","President, CEO & Director",18732,"Sale",211.28,1300,274664,70786,NA
"7069","FFIV","Pelzer Francis J.","EVP, Chief Financial Officer",18732,"Sale",211.28,600,126768,11489,NA
"7070","KTOS","Carrai Phillip D","President, STC Division",18732,"Sale",27.91,3500,97700,131619,NA
"7071","MEDP","GEIGER JESSE J","CFO & COO, Lab Operations",18731,"Option Exercise",28.32,3000,84960,9382,NA
"7072","MEDP","GEIGER JESSE J","CFO & COO, Lab Operations",18731,"Sale",180,3000,540000,6382,NA
"7073","MEDP","Troendle August J.","President & CEO",18731,"Sale",180.48,3720,671386,6453482,NA
"7074","MEDP","Troendle August J.","President & CEO",18732,"Sale",186.65,31270,5836546,6422212,NA
"7075","MEDP","Troendle August J.","President & CEO",18733,"Sale",180.3,17528,3160298,6404684,NA
"7076","DKNG","Park Jason","Chief Financial Officer",18731,"Option Exercise",4.7,21302,100119,285963,NA
"7077","NLTX","Walkey Carl","Senior Vice President",18731,"Sale",12.22,1800,21996,1361962,NA
"7078","VMW","POONEN SANJAY","COO, Customer Operations",18732,"Option Exercise",80.25,13384,1074066,316157,NA
"7079","VMW","POONEN SANJAY","COO, Customer Operations",18732,"Sale",160,13384,2141440,302773,NA
"7080","VMW","Brulard Jean Pierre","EVP, Worldwide Sales",18732,"Sale",160,1304,208640,88018,NA
"7081","TRUE","Thomas Charles C.","VP, Controller, PAO",18733,"Sale",4.73,551,2606,70525,NA
"7082","SNAP","Coles Joanna","Director",18731,"Sale",64.16,2201,141216,47604,NA
"7083","TRUE","Buce Robert","Director",18732,"Sale",4.84,12000,58118,164442,NA
"7084","LEVI","Eisenhardt Elizabeth H","10% Owner",18731,"Sale",27.34,82826,2264082,0,NA
"7085","LEVI","Eisenhardt Elizabeth H","10% Owner",18732,"Sale",27.48,74250,2040501,0,NA
"7086","LEVI","Eisenhardt Elizabeth H","10% Owner",18733,"Sale",28.45,20610,586258,0,NA
"7087","TRHC","Knowlton Calvin H","Chief Executive Officer",18731,"Option Exercise",15.16,738,11188,853360,NA
"7088","TRHC","Knowlton Calvin H","Chief Executive Officer",18731,"Option Exercise",15.16,738,11188,724908,NA
"7089","HLIT","Haltmayer Neven","SVP, Video R&D",18731,"Option Exercise",7.58,80000,606400,240789,NA
"7090","HLIT","Haltmayer Neven","SVP, Video R&D",18731,"Sale",9,80000,720000,160789,NA
"7091","TRHC","Knowlton Orsula V","President",18731,"Option Exercise",15.16,738,11188,729198,NA
"7092","TRHC","Knowlton Orsula V","President",18731,"Option Exercise",15.16,738,11188,849070,NA
"7093","RFIL","Holdsworth Mark Keith","Director",18731,"Buy",6.99,4700,32868,300089,NA
"7094","RFIL","Holdsworth Mark Keith","Director",18732,"Buy",7,14700,102891,314789,NA
"7095","SMAR","Barker Geoffrey T","Director",18731,"Sale",64.77,6750,437221,364349,NA
"7096","SMAR","Barker Geoffrey T","Director",18732,"Sale",65.14,6750,439663,357599,NA
"7097","ENSG","Wittekind Beverly B.","VP and General Counsel",18731,"Sale",90.76,8000,726080,46891,NA
"7098","PYPL","Alford Peggy","EVP, Global Sales",18732,"Option Exercise",0,21966,0,30251,NA
"7099","PYPL","Alford Peggy","EVP, Global Sales",18733,"Sale",270.33,4000,1081326,18990,NA
"7100","TENB","Yoran Amit","President, CEO and Chairman",18731,"Option Exercise",4.25,20000,85000,290573,NA
"7101","TENB","Yoran Amit","President, CEO and Chairman",18731,"Sale",39.93,37500,1497200,253073,NA
"7102","TENB","Yoran Amit","President, CEO and Chairman",18731,"Sale",39.93,22500,898463,493447,NA
"7103","NKTR","CHESS ROBERT","Director",18731,"Option Exercise",13.8,8000,110400,288573,NA
"7104","NKTR","CHESS ROBERT","Director",18731,"Sale",18.98,8000,151840,280573,NA
"7105","RPRX","Lloyd George W.","EVP, Investments & GC",18731,"Sale",42.13,69822,2941920,50000,NA
"7106","RNG","Williams R Neil","Director",18732,"Option Exercise",12.3,2389,29385,15467,NA
"7107","RNG","Williams R Neil","Director",18731,"Option Exercise",12.3,2388,29372,15466,NA
"7108","RNG","Williams R Neil","Director",18731,"Sale",321.33,2388,767340,13078,NA
"7109","RNG","Williams R Neil","Director",18732,"Sale",327.2,2389,781683,13078,NA
"7110","RPRX","Reddoch James F.","EVP, Research & Investments",18731,"Sale",42.1,55714,2345593,2e+05,NA
"7111","PANL","Pangaea One Acquisition Holdin","10% Owner",18731,"Sale",3,7557,22678,13320019,NA
"7112","PANL","Pangaea One Acquisition Holdin","10% Owner",18732,"Sale",3,34182,102481,13285837,NA
"7113","PANL","Pangaea One Acquisition Holdin","10% Owner",18733,"Sale",2.94,250000,735630,13035837,NA
"7114","ROKU","Wood Anthony J.","CEO and Chairman BOD",18732,"Sale",385.6,25000,9639878,25000,NA
"7115","ANGO","Trowbridge Stephen A","EVP and CFO",18732,"Option Exercise",14.07,13625,191704,73371,NA
"7116","KFS","Fitzgerald John Taylor Maloney","President and CEO",18732,"Buy",4.66,447,2082,1939637,NA
"7117","AMG","Horgen Jay C.","President and CEO",18732,"Option Exercise",122.4,41131,5034434,188677,NA
"7118","IMH","RHP Trust, dated May 31, 2011","10% Owner",18729,"Buy",1.94,25000,48580,3425000,NA
"7119","IMH","RHP Trust, dated May 31, 2011","10% Owner",18730,"Buy",1.94,31512,61143,3456512,NA
"7120","IMH","RHP Trust, dated May 31, 2011","10% Owner",18731,"Buy",1.95,12970,25292,3469482,NA
"7121","IMH","RHP Trust, dated May 31, 2011","10% Owner",18732,"Buy",1.95,111226,216602,3580708,NA
"7122","IMH","RHP Trust, dated May 31, 2011","10% Owner",18733,"Buy",1.97,19292,38100,3600000,NA
"7123","IMH","PICKUP RICHARD H.","10% Owner",18729,"Buy",1.94,25000,48580,3425000,NA
"7124","IMH","PICKUP RICHARD H.","10% Owner",18730,"Buy",1.94,31512,61143,3456512,NA
"7125","IMH","PICKUP RICHARD H.","10% Owner",18731,"Buy",1.95,12970,25292,3469482,NA
"7126","IMH","PICKUP RICHARD H.","10% Owner",18732,"Buy",1.95,111226,216602,3580708,NA
"7127","IMH","PICKUP RICHARD H.","10% Owner",18733,"Buy",1.97,19292,38100,3600000,NA
"7128","MGNI","TROE LISA L","Director",18732,"Sale",40.07,3000,120210,79772,NA
"7129","MU","Zinsner David","SVP & Chief Financial Officer",18732,"Option Exercise",44.21,8050,355890,132974,NA
"7130","MU","Zinsner David","SVP & Chief Financial Officer",18732,"Sale",90.15,8050,725691,124924,NA
"7131","IDT","MASON JOYCE J","EVP and Corporate Secretary",18732,"Sale",22.5,2100,47250,33581,NA
"7132","IDT","MASON JOYCE J","EVP and Corporate Secretary",18732,"Sale",22.87,1035,23669,10000,NA
"7133","SYNH","Meggs Jason M.","Chief Financial Officer",18732,"Sale",84,6000,504000,60701,NA
"7134","RPM","GROSS THOMAS","Director",18732,"Sale",90.59,1887,170951,5016,NA
"7135","SYNH","KEEFE MICHELLE","Pres., Commercial Solutions",18732,"Sale",82,2736,224352,43895,NA
"7136","SONO","Spence Patrick","Chief Executive Officer",18732,"Option Exercise",4.38,98844,432442,283878,NA
"7137","SONO","Spence Patrick","Chief Executive Officer",18732,"Sale",43.31,65237,2825551,218641,NA
"7138","GES","Bolla Gianluca","Director",18731,"Sale",27,2963,80001,87905,NA
"7139","GRTS","Yelensky Roman","See Remarks",18694,"Option Exercise",0.76,50724,38500,183948,NA
"7140","INO","BENITO SIMON X","Director",18733,"Option Exercise",3.56,2000,7120,53650,NA
"7141","INO","BENITO SIMON X","Director",18733,"Sale",8.75,2000,17500,51650,NA
"7142","CRVL","CORSTAR HOLDINGS INC","10% Owner",18731,"Sale",109.92,5582,613579,6538454,NA
"7143","CRVL","CORSTAR HOLDINGS INC","10% Owner",18732,"Sale",110.88,3402,377221,6535052,NA
"7144","CRVL","CORSTAR HOLDINGS INC","10% Owner",18733,"Sale",112.62,3779,425591,6531273,NA
"7145","BLK","Wiedman Mark","Senior Managing Director",18733,"Sale",812.53,1725,1401609,7941,NA
"7146","TRGP","Perkins Joe Bob","Director",18731,"Sale",32.58,20000,651660,636798,NA
"7147","TRGP","Perkins Joe Bob","Director",18731,"Sale",32.57,10000,325712,470283,NA
"7148","BLK","Comerchero Marc D.","Principal Accounting Officer",18733,"Sale",808.38,600,485026,2008,NA
"7149","LUNG","French Glendon E. III","President and CEO",18732,"Sale",43.75,25000,1093856,1224884,NA
"7150","LUNG","French Glendon E. III","President and CEO",18732,"Sale",43.7,1000,43700,27571,NA
"7151","MMI","MARCUS GEORGE M","Director",18731,"Sale",35.48,22719,806000,14292486,NA
"7152","MMI","MARCUS GEORGE M","Director",18732,"Sale",35.64,7199,256605,14285287,NA
"7153","EXLS","Jetley Vivek","EVP and Head of Analytics",18731,"Option Exercise",0,1000,0,42573,NA
"7154","EXLS","Jetley Vivek","EVP and Head of Analytics",18731,"Sale",94.5,1000,94500,41573,NA
"7155","MMI","Phoenix Investments Holdings L","10% Owner",18731,"Sale",35.48,22719,806000,14292486,NA
"7156","MMI","Phoenix Investments Holdings L","10% Owner",18732,"Sale",35.64,7199,256605,14285287,NA
"7157","ZNGA","Siminoff Ellen F","Director",18732,"Sale",10.69,5000,53450,128087,NA
"7158","TTCF","Williamson Daniel James","Director",18732,"Buy",10,250000,2500000,257471,NA
"7159","URBN","Marein-Efron Melanie","Chief Financial Officer",18731,"Sale",37.43,3962,148304,5093,NA
"7160","TTCF","Galletti Salvatore","President and CEO",18732,"Sale",10,8e+05,8e+06,31266210,NA
"7161","SHYF","Adams Daryl M","President and CEO",18732,"Sale",37.97,15000,569560,441205,NA
"7162","AVAV","Conver Timothy E","Chairman of the Board",18731,"Sale",111.67,12500,1395889,316200,NA
"7163","ADBE","Parasnis Abhay","EVP, CTO, Document Cloud",18732,"Sale",524,4000,2096000,39746,NA
"7164","ASIX","Gramm Christopher","Controller",18733,"Sale",29.11,200,5822,40375,NA
"7165","FISV","Chiarello Guy","Chief Administrative Officer",18732,"Option Exercise",36.54,20000,730800,217375,NA
"7166","FISV","Chiarello Guy","Chief Administrative Officer",18732,"Sale",124.94,20000,2498800,197375,NA
"7167","NEM","Gottesfeld Stephen P","EVP and Chief S&EA Officer",18731,"Sale",62.38,4000,249520,113140,NA
"7168","HD","HOLIFIELD MARK","EVP-Supply Chain & Product Dev",18990,"Buy",266.07,83,22084,83,NA
"7169","PFSW","Butler James Joseph III","Executive Vice President",18731,"Option Exercise",0,12351,0,53809,NA
"7170","PFSW","MADDEN THOMAS J","CFO/Executive Vice President",18731,"Option Exercise",0,105504,0,363320,NA
"7171","PFSW","DelaCruz Stephanie","Chief Accounting Officer/VP",18731,"Option Exercise",0,24354,0,57457,NA
"7172","DXCM","Flynn Paul R","EVP, Global Revenue",18732,"Sale",400,758,303200,12306,NA
"7173","PFSW","Fuentes Mark","Senior Vice President & CIO",18731,"Option Exercise",0,35747,0,73505,NA
"7174","MKSI","BAGSHAW SETH H","Sr. VP, CFO & Treasurer",18732,"Sale",186.86,9000,1681710,19410,NA
"7175","HXL","Suever Catherine A","Director",18732,"Option Exercise",0,294,0,3635,NA
"7176","TEN","ICAHN CARL C","10% Owner",18731,"Sale",10.9,305611,3331160,11198081,NA
"7177","TEN","ICAHN CARL C","10% Owner",18732,"Sale",10.77,79164,852596,11118917,NA
"7178","TEN","ICAHN CARL C","10% Owner",18733,"Sale",10.8,172076,1858421,10946841,NA
"7179","PFSW","Thomann R Zach","Executive Vice President",18731,"Option Exercise",0,62006,0,89027,NA
"7180","BBY","SCHULZE RICHARD M","Chairman Emeritus",18731,"Sale",120.79,2568,310189,0,NA
"7181","YORW","Wheeler Mark A","Chief Operating Officer",18732,"Buy",41.1,4,181,969,NA
"7182","YORW","Wheeler Mark A","Chief Operating Officer",18733,"Buy",45.95,106,4875,1075,NA
"7183","PFSW","WILLOUGHBY MICHAEL C","CEO/President",18731,"Option Exercise",0,203567,0,408022,NA
"7184","CHGG","FILLMORE JOHN PAUL","PRESIDENT, CHEGG SKILLS",18730,"Option Exercise",9.15,19714,180383,138146,NA
"7185","CHGG","FILLMORE JOHN PAUL","PRESIDENT, CHEGG SKILLS",18730,"Sale",90.79,19714,1789887,118432,NA
"7186","ALKS","Hopkinson Craig C.","EVP R&D, Chief Medical Officer",18732,"Sale",19.72,28920,570288,0,NA
"7187","DOCN","Butte Amy","Director",18731,"Option Exercise",3.43,29000,99470,29000,NA
"7188","UTHR","MAHON PAUL A","EVP & General Counsel",18732,"Option Exercise",94.96,6000,569760,42369,NA
"7189","AGIO","Alenson Carman","Principal Accounting Officer",18732,"Sale",54,991,53514,1118,NA
"7190","PTON","LYNCH WILLIAM","President",18731,"Sale",119.17,28333,3376582,4200,NA
"7191","EVC","ZEVNIK PAUL A","Director",18732,"Option Exercise",1.73,1e+05,172500,253551,NA
"7192","PTON","CALLAGHAN JON","Director",18731,"Sale",119.2,15000,1788036,858954,NA
"7193","MKL","MARKEL STEVEN A","Director",18732,"Sale",1199.36,1500,1799038,87008,NA
"7194","MBIO","Achenbach Brian","SVP, Fin. & Corp. Controller",18967,"Sale",3.69,6144,22671,145630,NA
"7195","MBIO","Achenbach Brian","SVP, Fin. & Corp. Controller",18717,"Sale",2.64,3033,8007,142597,NA
"7196","MBIO","Achenbach Brian","SVP, Fin. & Corp. Controller",18769,"Sale",3.04,880,2675,141717,NA
"7197","MBIO","Achenbach Brian","SVP, Fin. & Corp. Controller",18921,"Sale",2.97,3056,9076,138661,NA
"7198","MBIO","Achenbach Brian","SVP, Fin. & Corp. Controller",18969,"Sale",3.03,5185,15711,133476,NA
"7199","MBIO","Achenbach Brian","SVP, Fin. & Corp. Controller",18726,"Sale",3.36,2423,8141,131053,NA
"7200","UTHR","Giltner Richard","Director",18631,"Option Exercise",54.77,5000,273850,13350,NA
"7201","DXR","Feldschuh Michael Richard","CEO & President",18733,"Buy",10.33,4200,43386,158206,NA
"7202","COIN","WILSON FREDERICK R","Director",18731,"Sale",388.89,4500000,1750000050,1313,NA
"7203","COIN","WILSON FREDERICK R","Director",18732,"Sale",330.01,202324,66768397,0,NA
"7204","COIN","Union Square Ventures 2012 Fun","10% Owner",18731,"Sale",388.89,3755323,1460403431,168736,NA
"7205","COIN","Union Square Ventures 2012 Fun","10% Owner",18731,"Sale",388.89,744677,289596619,1313,NA
"7206","COIN","Union Square Ventures 2012 Fun","10% Owner",18732,"Sale",330.01,168736,55684112,0,NA
"7207","COIN","Union Square Ventures 2012 Fun","10% Owner",18732,"Sale",330.01,33588,11084285,0,NA
"7208","COIN","Jones Jennifer N.","Chief Accounting Officer",18731,"Option Exercise",7.58,110000,833818,128483,NA
"7209","COIN","Jones Jennifer N.","Chief Accounting Officer",18731,"Sale",394.86,110000,43435000,18483,NA
"7210","COIN","Haun Kathryn","Director",18731,"Sale",358.83,204885,73517983,57854,NA
